País;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Dinamarca;245,17;251,459;260,249;267,271;273,865;284,04;295,337;307,252;319,32;331,735;344,855
Hungria;228,267;236,865;250,864;261,545;270,285;284,266;299,348;313,869;327,884;341,885;356,676
Sri Lanka;207,597;218,113;232,849;246,618;260,593;278,415;298,31;319,791;342,879;368,016;395,583
Finlândia;217,887;219,726;222,248;225,242;231,37;239,662;248,459;257,746;266,936;276,502;286,603
Uzbequistão;142,867;156,788;172,523;188,329;205,689;222,792;241,529;261,637;282,929;305,98;331,086
Angola;153,316;166,407;177,524;184,83;187,261;193,935;201,306;208,583;216,001;223,356;231,254
Omã;151,827;161,026;168,075;176,98;184,788;189,582;201,251;209,667;217,836;227,074;236,908
Equador;162,097;172,862;182,982;185,243;183,61;184,629;188,274;193,753;200,054;207,257;214,868
Etiópia;115,91;129,493;145,387;162,243;177,458;194,98;214,315;235,469;258,01;282,413;309,425
Nova Zelândia;148,455;154,023;161,237;168,055;177,001;186,476;196,255;205,701;215,225;225,197;235,678
Sudão;143,884;153,831;159,099;168,657;176,086;186,715;197,825;209,412;221,305;233,821;247,143
Bielorrússia;168,378;172,781;178,956;173,954;170,961;173,405;178,437;183,842;191,54;198,81;207,059
Eslováquia;143,807;148,307;154,844;162,506;170,052;179,527;190,337;202,098;213,39;225,115;237,611
Azerbaijão;147,691;158,786;166,154;169,789;165,533;167,431;174,628;183,94;192,83;202,684;213,21
República Dominicana;118,837;126,482;138,543;149,893;161,838;174,18;186,983;200,639;214,919;230,237;246,778
Quênia;115,674;124,234;133,201;142,24;152,763;164,34;177,684;192,776;209,491;227,579;247,353
Tanzânia;108,132;117,858;128,325;138,732;149,804;163,522;178,758;194,969;211,881;230,212;250,263
Bulgária;124,619;127,723;131,738;137,972;144,598;152,079;159,681;167,263;174,902;182,906;191,38
Guatemala;107,297;113,061;119,89;126,207;131,703;138,987;147,071;156,009;165,362;175,46;186,275
Porto Rico;128,151;129,821;130,299;131,64;130,971;129,848;129,435;130,69;131,856;132,901;134,798
Tunísia;115,246;119,97;124,873;127,605;130,576;136,797;144,195;152,81;162,439;173,188;184,747
Gana;95,196;103,807;109,878;115,409;121,652;131,498;146,762;158,866;170,253;182,694;196,432
Sérvia;92,124;96,019;95,949;97,716;101,752;107,131;113,362;119,904;127,215;134,984;143,304
Turcomenistão;65,612;73,448;82,498;88,766;95,526;103,987;112,998;121,39;130,039;139,677;150,229
Corácia;87,136;87,602;88,731;91,158;95,063;100,006;104,916;109,848;114,604;119,461;124,56
Panamá;69,87;75,702;81,722;87,373;92,948;100,512;109,03;118,441;128,201;138,645;150,022
Costa do Marfim;59,51;66,078;73,191;80,6;87,798;95,887;105,095;115,126;125,684;137,061;149,162
Lituânia;72,855;76,627;80,725;83,045;86,051;90,387;95,248;100,429;105,69;111,192;116,946
Jordânia;72,967;76,243;80,011;82,799;85,649;89,555;93,848;98,497;103,397;108,656;114,244
Líbano;75,388;78,521;81,525;83,226;85,164;88,786;93,043;97,936;102,909;108,143;113,705
Uganda;66,769;70,539;75,509;80,128;84,976;91,212;98,618;106,99;116,147;126,787;139,884
Costa Rica;65,78;68,359;72,127;76,347;80,699;85,781;91,174;96,827;102,612;108,711;115,19
Bolívia;60,406;65,554;70,371;74,576;78,655;83,608;88,642;93,757;98,996;104,536;110,446
Camarões;58,819;63,087;68,022;72,718;76,948;81,535;86,942;93,165;99,786;107,163;115,185
Uruguai;63,92;67,964;71,422;72,899;74,92;77,8;81,609;86,068;90,526;95,26;100,159
Nepal;59,229;62,67;67,613;70,203;71,525;77,147;82,444;87,472;92,62;98,122;104,009
Iêmen;96,234;102,505;104,144;75,688;69,185;74,25;86,311;93,223;100,449;108,264;116,768
Bahrein;54,236;58,097;61,711;64,16;66,899;69,922;72,648;75,512;78,673;82,048;85,622
Eslovênia;58,464;58,762;61,672;63,78;66,229;69,358;72,299;75,341;78,229;81,226;84,378
Congo Kinshasa;47,226;52,059;58,009;62,688;65,037;68,331;72,272;76,652;81,376;86,82;92,931
Zâmbia;52,538;56,088;59,771;62,18;64,867;68,648;73,009;77,632;82,797;88,303;94,235
Paraguai;47,507;55,05;58,682;61,07;64,405;68,005;72,111;76,389;80,843;85,613;90,676
Afeganistão;55,921;59,059;60,887;62,009;64,081;67,462;71,386;75,87;80,883;86,647;93,315
Macau;71,365;80,639;81,097;64,315;62,569;65,732;68,329;71,346;74,807;79,03;83,779
Luxemburgo;48,172;51,006;54,363;56,889;59,932;63,549;67,265;71,014;74,682;78,547;82,548
Camboja;42,243;46,113;50,258;54,373;58,953;64,405;70,302;76,698;83,356;90,404;98,141
Líbia;163,209;114,819;61,074;57,222;55,409;87,067;91,653;96,335;101,167;106,34;111,933
El Salvador;47,727;49,394;50,995;52,809;54,787;57,285;59,915;62,515;65,051;67,696;70,487
