index;paises;1970 Quantidade;1970 Valor;1971 Quantidade;1971 Valor;1972 Quantidade;1972 Valor;1973 Quantidade;1973 Valor;1974 Quantidade;1974 Valor;1975 Quantidade;1975 Valor;1976 Quantidade;1976 Valor;1977 Quantidade;1977 Valor;1978 Quantidade;1978 Valor;1979 Quantidade;1979 Valor;1980 Quantidade;1980 Valor;1981 Quantidade;1981 Valor;1982 Quantidade;1982 Valor;1983 Quantidade;1983 Valor;1984 Quantidade;1984 Valor;1985 Quantidade;1985 Valor;1986 Quantidade;1986 Valor;1987 Quantidade;1987 Valor;1988 Quantidade;1988 Valor;1989 Quantidade;1989 Valor;1990 Quantidade;1990 Valor;1991 Quantidade;1991 Valor;1992 Quantidade;1992 Valor;1993 Quantidade;1993 Valor;1994 Quantidade;1994 Valor;1995 Quantidade;1995 Valor;1996 Quantidade;1996 Valor;1997 Quantidade;1997 Valor;1998 Quantidade;1998 Valor;1999 Quantidade;1999 Valor;2000 Quantidade;2000 Valor;2001 Quantidade;2001 Valor;2002 Quantidade;2002 Valor;2003 Quantidade;2003 Valor;2004 Quantidade;2004 Valor;2005 Quantidade;2005 Valor;2006 Quantidade;2006 Valor;2007 Quantidade;2007 Valor;2008 Quantidade;2008 Valor;2009 Quantidade;2009 Valor;2010 Quantidade;2010 Valor;2011 Quantidade;2011 Valor;2012 Quantidade;2012 Valor;2013 Quantidade;2013 Valor;2014 Quantidade;2014 Valor;2015 Quantidade;2015 Valor;2016 Quantidade;2016 Valor;2017 Quantidade;2017 Valor;2018 Quantidade;2018 Valor;2019 Quantidade;2019 Valor;2020 Quantidade;2020 Valor;2021 Quantidade;2021 Valor;2022 Quantidade;2022 Valor
11;Espanha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4617;2836;3058;955;2208;1945;3986;2780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9588;8215;0;0;0;0;0;0;0;0;422;806;0;0;0;0;0;0;0;0
12;Estados Unidos;0;0;210;777;0;0;7;7;731;406;3364;859;3265;742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;954;3280;0;0;1958;2350;0;0;12543;11798;0;0;3597;3040;4639;5286;51921;200121;15892;11721;15896;8557;16985;11059;5394;11240;10338;19754;6089;11831;0;0;3536;4555;10450;13762;9044;12130;20842;25866;2028;3604;8455;14898;13178;24066;10657;17793;12487;13866;13498;9740;32044;34722;0;0;23578;28765;68730;108205;32691;40554;14541;8226;9273;14093;28180;25418;25693;16742;29414;16781
13;França;0;0;81;48;36;32;27;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74489;61975;14;52;0;0;0;0;0;0;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;862;2229;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;Guiana;0;0;0;0;0;0;35;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Israel;0;0;0;0;0;0;0;0;18;8;225;112;405;225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;234;240;468;480;0;0;421;643;312;476;291;538;180;250;135;187;4079;2483;3700;1488;11663;6217;374;282;840;1400;1170;2192;0;0;0;0;2475;3891;5879;8140;3249;4082;1965;2857;900;1551;900;1783;1125;1684;0;0;1139;2021;2528;4831;0;0;2575;4651;1200;1656;5340;7399;840;1034;3360;3609;0;0;720;969;0;0
16;itália;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;771457;408318;0;0;225;771;774;1594;1161;4254;0;0;0;0;0;0;0;0;0;0
17;Japão;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175;226;0;0;800;800;760;640;0;0;270;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;Líbano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;455;819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;México;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2490;1523;44668;36188;504734;271595;1919238;863521;314075;108319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;Países Baixos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Panamá;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;Peru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10238;8908;38321;37176;0;0;0;0;0;0;0;0;0;0
23;Portugal;0;0;160;109;125;82;1402;732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1151;3796;0;0;0;0;0;0;0;0;4500;5576;0;0;0;0;0;0;0;0;0;0
24;Reino Unido;0;0;0;0;458;189;244;129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1734;1201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1632;1016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;Taiwan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1632;1034;3672;2328;2040;1294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;Turquia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6210;15446;0;0;13428;10216;5052;3846;0;0;27816;19461;0;0;0;0;0;0;0;0;0;0
27;Uruguai;0;0;0;0;0;0;0;0;0;0;0;0;15000;4500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2500;1440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2139;1783;5786;4989;0;0;0;0;0;0;0;0;0;0;0;0;225;600;0;0;0;0;0;0;0;0
28;Venezuela;0;0;0;0;0;0;127;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;612;568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;Outros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17186;8917;40266;18231;101957;31577;255509;138561;380790;384466;0;0;3186;1695;3004;911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
